5.767243658414383134e+00,5.646930035347272891e+00,5.630389457414914034e+00,5.699233597756617975e+00,5.702154457544421184e+00,5.669295259199842008e+00,5.714323547337986753e+00,5.709149597395617448e+00,5.678602930820685124e+00,5.721128979907014411e+00,5.669133375652390505e+00,5.787166717187823828e+00,5.835534485849759534e+00,5.809781722295250361e+00,5.842616891050753658e+00,5.621165256998225779e+00,5.569323947999767377e+00,5.630231368013106419e+00,5.633432994578519981e+00,5.579895702477466024e+00,5.485231768674886155e+00,5.451598564619056120e+00,5.554348455145307284e+00,5.591899114577937091e+00,5.621809629399995067e+00
5.484551984247111989e+00,5.476845442087779681e+00,5.398484319757240080e+00,5.369589371252396326e+00,5.394330362635335163e+00,5.411336988124222813e+00,5.368016697883210675e+00,5.395907462507770980e+00,5.351539988069182741e+00,5.345038087151626982e+00,5.326360140506825047e+00,5.268455786770228855e+00,5.209599102477142196e+00,5.228210335394380515e+00,5.281138667119670949e+00,5.254271373282415780e+00,5.260859591013359093e+00,5.170551020230587547e+00,5.174764102788768305e+00,5.169080788793773529e+00,5.181459188955333417e+00,5.269854877976229091e+00,5.222708824211465206e+00,5.194553101749475488e+00,4.786244959013783884e+00
4.985372999422885698e+00,5.010900643669220500e+00,5.084586113851889522e+00,5.005537302623484841e+00,4.948297240553285903e+00,4.938195327777759935e+00,4.957106614379630294e+00,4.914327622250407757e+00,4.913825846489070059e+00,4.916900685354233858e+00,4.803352972505698482e+00,4.897443674137322844e+00,4.842539224889433669e+00,4.831627262019043911e+00,4.768347868620979035e+00,4.702732862400603508e+00,4.795092801261234605e+00,4.712325094944700865e+00,4.692449146812998961e+00,4.698626648278044549e+00,4.714455191544660195e+00,4.712210322038988153e+00,4.543773968882744541e+00,4.506081661346094336e+00,4.497271971340946806e+00
4.646555793468160722e+00,4.578921353229091551e+00,4.594560189213537704e+00,4.564578534160665946e+00,4.577107119253943424e+00,4.589335334483785722e+00,4.483182411494217590e+00,4.438589185389847813e+00,4.481411810193969281e+00,4.471811673179781899e+00,4.548196677987722758e+00,4.522242192356507040e+00,4.484403494033782245e+00,4.448880805447543274e+00,4.448714811575644745e+00,4.365986627609562909e+00,4.282341525112994596e+00,4.258232891337287995e+00,4.309920221258385808e+00,4.402865090905706325e+00,4.279594879845983968e+00,4.256861623866005750e+00,4.252755093564643651e+00,4.268611460565977289e+00,4.303426857168527242e+00
4.305608490913476416e+00,4.280088751137232528e+00,4.071102466417258370e+00,4.126346807879034628e+00,4.083528293399360187e+00,4.069130459219106655e+00,4.060783338803648057e+00,4.013550019689086312e+00,4.011534379816035667e+00,4.008645454087397475e+00,3.876443191825528434e+00,3.946982682912220319e+00,4.016953052152404169e+00,3.892267940946501081e+00,3.933896674588168274e+00,3.986184744236136446e+00,3.929699400970168455e+00,3.857175887890786914e+00,3.871079850779793219e+00,3.885094476250064766e+00,3.927719489301925826e+00,3.867092203708590414e+00,3.769685418784643360e+00,3.783688029460377411e+00,3.776969229883541335e+00
3.659943550195231765e+00,3.645751232237327777e+00,3.720733035514822262e+00,3.767282459877162815e+00,3.657825152211005459e+00,3.623697760685123725e+00,3.714365826767606737e+00,3.667215662678395827e+00,3.695083030071487862e+00,3.630467781228146062e+00,3.510561080281289215e+00,3.540356822197634035e+00,3.552703604478832045e+00,3.501498447233248434e+00,3.547024400808284739e+00,3.504059495542536595e+00,3.582230910590907591e+00,3.530515756935091343e+00,3.506470358920107167e+00,3.465991567587190403e+00,3.356475134484757206e+00,3.408980735149612862e+00,3.473433784266700020e+00,3.564568214084516296e+00,3.529345895361712948e+00
3.373015396238312036e+00,3.301973813211478426e+00,3.186983692660847467e+00,3.233497388818379559e+00,3.318150469340875208e+00,3.220506550314216287e+00,3.117914433010969155e+00,3.221277078058627730e+00,3.164262135296603162e+00,3.196472850914966024e+00,3.205823839031904043e+00,3.207049031895915281e+00,3.115171581889601971e+00,3.097963550502810470e+00,3.111649982374928847e+00,3.106646452807708236e+00,3.099196647836912177e+00,3.080735599851391004e+00,3.070416472237781136e+00,3.002833252964897337e+00,3.008472934284992739e+00,3.041118395758327431e+00,2.971163835458324964e+00,2.965777097181121924e+00,2.864911948503225059e+00
2.872160347576117712e+00,2.825124956392619513e+00,2.756035777478113680e+00,2.772967152411741409e+00,2.805079220243375637e+00,2.874203811183886792e+00,2.888803367440847758e+00,2.906872986067492448e+00,2.685966760451202084e+00,2.726457250399852317e+00,2.771283500282486933e+00,2.641128495774029972e+00,2.536168989678709629e+00,2.691068937805150441e+00,2.733097005275785030e+00,2.640369666645351998e+00,2.622126149676718754e+00,2.735555295473897974e+00,2.636860081925216370e+00,2.534837086468478162e+00,2.521644525887607458e+00,2.459467964156554221e+00,2.466352757605289270e+00,2.507724754058420658e+00,2.554515264758518533e+00
2.436916510988655471e+00,2.483363177239820807e+00,2.460456022917854035e+00,2.454460482354288597e+00,2.433399021798429374e+00,2.414171398303541327e+00,2.315772602383249890e+00,2.329976935135690930e+00,2.342181436955261820e+00,2.374838755133731993e+00,2.286893620907988645e+00,2.269515643414253603e+00,2.286095269428858767e+00,2.237443256022472848e+00,2.203948064014420893e+00,2.254682905289625783e+00,2.242936862735297687e+00,2.222733037184246196e+00,2.262049871413874591e+00,2.257872358971100724e+00,2.261840402956479146e+00,2.172468511879419584e+00,2.069406078605794175e+00,2.070828883222065375e+00,1.862222013066430648e+00
2.011991960104204669e+00,1.951064304647433856e+00,1.933425479640715761e+00,1.891425077815397815e+00,1.794868023426168246e+00,1.780185470233258016e+00,1.856313421673859709e+00,1.881406161975821112e+00,1.812174860689089728e+00,1.818707905218801768e+00,1.873604449996600474e+00,1.964011826655502224e+00,1.877987478661724996e+00,1.787461534951467312e+00,1.724099302706854964e+00,1.649777522681908692e+00,1.835038540425559583e+00,1.753851728127104659e+00,1.668724537488587290e+00,1.599912173116646796e+00,1.544719210710458368e+00,1.621372809412071403e+00,1.580858447963747970e+00,1.671827041999067509e+00,1.660029620389152027e+00
